country_name;country_code;population;rural_population_%;access_water_%;access_sanitation_%;access_electricity_%;employment_%;agriculture_employment_%
Ukraine;UKR;45004645;30,085;96,2;95,9;100;53,70000076;15,69999981
Upper middle income;UMC;2579909675;34,95454138;95,48718224;80,2660468;99,30922511;61,75788336;22,35671934
Uruguay;URY;3444006;4,54;99,7;96,4;99,657085;60;8,699999809
United States;USA;323127513;18,212;99,2;100;100;58,79999924;1,5
Uzbekistan;UZB;31848200;63,521;;100;100;57;29
St. Vincent and the Grenadines;VCT;109643;49,101;95,1;;99,02001953;54,20000076;22,10000038
Venezuela, RB;VEN;31568179;10,957;93,1;94,4;99,10779572;60;11,89999962
British Virgin Islands;VGB;30661;53,498;;97,5;;;
Virgin Islands (U.S.);VIR;102951;4,541;100;96,4;100;56,20000076;10,89999962
Vietnam;VNM;92701100;65,764;97,6;78;99,2;76,69999695;41,79999924
Vanuatu;VUT;270402;73,559;94,5;57,9;34,46945572;67,19999695;61,40000153
World;WLD;7442135578;45,70190827;90,95135518;67,52874483;85,31517974;59,09218209;28,74376967
Samoa;WSM;195125;81,045;99;91,5;97,9;38,5;5,300000191
Kosovo;XKX;1816200;;;;100;;
Yemen, Rep.;YEM;27584213;64,813;;;72,04101563;42,09999847;32,90000153
South Africa;ZAF;55908865;34,705;93,2;66,4;86;39;6,099999905
Zambia;ZMB;16591390;58,621;65,4;43,9;27,9;69,69999695;54,79999924
Zimbabwe;ZWE;16150362;67,723;76,9;36,8;32,3;78,30000305;67,5
